ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
SQ16_10,Normal,Sourroque,SQ,Sourroque,SQ16,2.891,45.42,31,2.534,3.218,3.108,927,0.236,23.743,33.158
AT08_10,Normal,Sourroque,AT,Ates,AT08,2.917,59.425,24,2.298,3.219,3.107,750,0.422,13.803,6.34
TP05_07,Normal,Sourroque,TP,Toupi,TP05,3.53,55.687,17,1.735,4.511,3.104,1184,0.985,8.623,119.055
G09_06,Normal,Grave,G,Grave,G09,3.409,46.214,20,1.229,3.255,3.072,1471,0.075,8.946,3.576
AT17_12,Wet,Sourroque,AT,Ates,AT17,3.335,57.999,23,3.178,8.789,3.072,750,0.422,13.803,6.34
ML03_14,Wet,Montoulieu,ML,Montoulieu,ML03,3.656,63.775,17,2.187,4.561,3.07,466,0.126,21.386,82.073
ML04_08,Normal,Montoulieu,ML,Montoulieu,ML04,3.151,74.556,21,2.335,5.232,3.058,466,0.126,21.386,82.073
TP09_06,Normal,Sourroque,TP,Toupi,TP09,3.503,64.667,30,1.191,6.235,3.047,1184,0.985,8.623,119.055
ML05_06,Normal,Montoulieu,ML,Montoulieu,ML05,3.5,70.39,27,2.484,5.582,3.046,466,0.126,21.386,82.073
SX02_15,Wet,Montoulieu,SX,Seignaux,SX02,3.417,62.646,21,1.278,6.247,3.041,840,0.729,23.294,134.076
PN07_10,Normal,Axat,PN,Paounias,PN07,2.657,50.355,18,1.926,4.281,3.037,909,0.186,16.179,113.962
G04_11,Wet,Grave,G,Grave,G04,4.075,46.963,16,0.192,10.544,3.035,1471,0.075,8.946,3.576
TC13_04,Dry,Montoulieu,TC,Tournac,TC13,3.621,50.294,18,1.64,0.99,3.03,1021,0.535,25.54,80.538
TP02_11,Wet,Sourroque,TP,Toupi,TP02,2.618,50.946,17,2.639,4.292,3.029,1184,0.985,8.623,119.055
F01_04,Dry,Grave,F,Freaux,F01,3.194,42.875,18,0.934,1.654,3.023,1409,0.194,29.362,9.545
AT08_11,Wet,Sourroque,AT,Ates,AT08,3.349,51,26,2.069,7.966,3.013,750,0.422,13.803,6.34
